Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Profit,Estimated Cost,Profit Margin %,ROI_Factor,Ship Delay,Shipping Class,Order Year,Order Month,Order Day,Sales_Performance,Is_Profitable
12,CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference Phone - Charcoal Black,911.424,273.42719999999997,637.9968,30.0,0.42857142857142855,5,Standard,2015,June,9,Medium Sales,True
13,CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,4.6655999999999995,10.8864,30.0,0.42857142857142855,5,Standard,2018,April,15,Low Sales,True
14,CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes Pb200 Plastic Comb Binding Machine,407.976,122.3928,285.58320000000003,30.0,0.4285714285714285,5,Standard,2017,December,5,Medium Sales,True
15,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter For Hepa Air Cleaner, Very Large Room, Hepa Filter",68.81,20.643,48.167,30.0,0.42857142857142855,4,Standard,2016,November,22,Low Sales,True
16,US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex Duratech Recycled Plastic Frosted Binders,2.544,0.7632,1.7808000000000002,30.0,0.42857142857142855,4,Standard,2016,November,22,Low Sales,True
17,CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H X 36""W X 18 1/2""D",665.88,199.76399999999998,466.116,30.0,0.42857142857142855,7,Late,2015,November,11,Medium Sales,True
18,CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,16.65,38.85,30.0,0.4285714285714285,2,Express,2015,May,13,Low Sales,True
19,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.568,5.992000000000001,30.0,0.4285714285714285,5,Standard,2015,August,27,Low Sales,True
20,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco Spa 501G Ip Phone,213.48,64.044,149.43599999999998,30.0,0.4285714285714286,5,Standard,2015,August,27,Medium Sales,True
21,CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,6.816,15.904,30.0,0.42857142857142855,5,Standard,2015,August,27,Low Sales,True
22,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,5.838,13.622,30.0,0.4285714285714286,4,Standard,2017,December,9,Low Sales,True
23,CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,Ken Black,Corporate,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,18.102,42.238,30.0,0.4285714285714286,4,Standard,2017,December,9,Low Sales,True
24,US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,Sandra Flanagan,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,21.4116,49.9604,30.0,0.42857142857142855,2,Express,2018,July,16,Low Sales,True
25,CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,Emily Burns,Consumer,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford Cr4500 Series Slim Rectangular Table,1044.63,313.389,731.2410000000001,30.0,0.42857142857142855,5,Standard,2016,September,25,High Sales,True
26,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,3.4943999999999997,8.1536,30.0,0.4285714285714285,4,Standard,2017,January,16,Low Sales,True
27,CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,Eric Hoffmann,Consumer,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8Gb Mini Traveldrive Usb 2.0 Flash Drive,90.57,27.170999999999996,63.399,30.0,0.4285714285714285,4,Standard,2017,January,16,Low Sales,True
28,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,925.0289999999999,2158.401,30.0,0.42857142857142855,4,Standard,2016,September,17,High Sales,True
29,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers For Binding Systems,9.618,2.8854,6.7326,30.0,0.4285714285714286,4,Standard,2016,September,17,Low Sales,True
30,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,37.26,86.94,30.0,0.42857142857142855,4,Standard,2016,September,17,Medium Sales,True
31,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,0.9791999999999998,2.2847999999999997,30.0,0.42857142857142855,4,Standard,2016,September,17,Low Sales,True
32,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"Boston Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,25.8912,60.412800000000004,30.0,0.42857142857142855,4,Standard,2016,September,17,Low Sales,True
33,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers With Storage Hooks, 14 7/8"" X 11"", Executive Red",6.858,2.0574,4.800599999999999,30.0,0.4285714285714286,4,Standard,2016,September,17,Low Sales,True
34,US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,Tracy Blumstein,Consumer,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,4.728,11.032,30.0,0.42857142857142855,4,Standard,2016,September,17,Low Sales,True
35,CA-2018-107727,2018-10-19,2018-10-23,Second Class,MA-17560,Matt Abelman,Home Office,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-Staple Paper,29.472,8.8416,20.6304,30.0,0.42857142857142855,4,Standard,2018,October,19,Low Sales,True
36,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,Ge 30524Ee4,1097.544,329.26320000000004,768.2808,30.0,0.4285714285714286,2,Express,2017,December,8,High Sales,True
37,CA-2017-117590,2017-12-08,2017-12-10,First Class,GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect'S Clamp-On Swing Arm Lamp, Black",190.92,57.275999999999996,133.644,30.0,0.42857142857142855,2,Express,2017,December,8,Medium Sales,True
38,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" X 9 1/2"" Premium Diagonal Seam Envelopes",113.328,33.9984,79.3296,30.0,0.42857142857142855,4,Standard,2016,December,27,Medium Sales,True
39,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,159.71975999999998,372.67944,30.0,0.4285714285714285,4,Standard,2016,December,27,Medium Sales,True
40,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager'S Chair, Dark Gray",212.058,63.617399999999996,148.4406,30.0,0.4285714285714286,4,Standard,2016,December,27,Medium Sales,True
41,CA-2016-117415,2016-12-27,2016-12-31,Standard Class,SN-20710,Steve Nguyen,Home Office,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics Hl10 Handset Lifter,371.168,111.3504,259.8176,30.0,0.4285714285714285,4,Standard,2016,December,27,Medium Sales,True
42,CA-2018-120999,2018-09-10,2018-09-15,Standard Class,LC-16930,Linda Cazamias,Corporate,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-Ts550,147.168,44.1504,103.01760000000002,30.0,0.4285714285714285,5,Standard,2018,September,10,Medium Sales,True
43,CA-2017-101343,2017-07-17,2017-07-22,Standard Class,RA-19885,Ruben Ausman,Corporate,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base For Stackable Storage Shelf, Platinum",77.88,23.363999999999997,54.516,30.0,0.42857142857142855,5,Standard,2017,July,17,Low Sales,True
44,CA-2018-139619,2018-09-19,2018-09-23,Standard Class,ES-14080,Erin Smith,Corporate,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,28.6848,66.9312,30.0,0.42857142857142855,4,Standard,2018,September,19,Low Sales,True
45,CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 25/Pack",45.98,13.793999999999999,32.186,30.0,0.42857142857142855,2,Express,2017,March,11,Low Sales,True
46,CA-2017-118255,2017-03-11,2017-03-13,First Class,ON-18715,Odella Nelson,Corporate,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders With Dubllock Round Rings,17.46,5.238,12.222000000000001,30.0,0.42857142857142855,2,Express,2017,March,11,Low Sales,True
47,CA-2015-146703,2015-10-20,2015-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8W X 5-1/4D X 20-1/2H, Black",211.96,63.588,148.372,30.0,0.42857142857142855,5,Standard,2015,October,20,Medium Sales,True
48,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,45.0,13.5,31.5,30.0,0.42857142857142855,5,Standard,2017,June,20,Low Sales,True
49,CA-2017-169194,2017-06-20,2017-06-25,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"Lf Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen And Wiper For Apple Iphone 5C Mini Lite",21.8,6.54,15.260000000000002,30.0,0.42857142857142855,5,Standard,2017,June,20,Low Sales,True
50,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 X 5-1/8, 10/Pack",38.22,11.466,26.753999999999998,30.0,0.4285714285714286,4,Standard,2016,April,18,Low Sales,True
51,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,22.554000000000002,52.626000000000005,30.0,0.42857142857142855,4,Standard,2016,April,18,Low Sales,True
52,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,1.8479999999999999,4.312,30.0,0.4285714285714285,4,Standard,2016,April,18,Low Sales,True
53,CA-2016-115742,2016-04-18,2016-04-22,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,26.996999999999996,62.992999999999995,30.0,0.42857142857142855,4,Standard,2016,April,18,Low Sales,True
54,CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,4.577999999999999,10.682,30.0,0.4285714285714285,6,Late,2017,December,11,Low Sales,True
55,CA-2017-105816,2017-12-11,2017-12-17,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,At&T Cl83451 4-Handset Telephone,1029.95,308.985,720.965,30.0,0.42857142857142855,6,Late,2017,December,11,High Sales,True
56,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,62.568,145.99200000000002,30.0,0.4285714285714285,1,Express,2017,June,17,Medium Sales,True
57,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,9.719999999999999,22.68,30.0,0.42857142857142855,1,Express,2017,June,17,Low Sales,True
58,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,95.82300000000001,223.58700000000002,30.0,0.42857142857142855,1,Express,2017,June,17,Medium Sales,True
59,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,4.368,10.192,30.0,0.4285714285714286,1,Express,2017,June,17,Low Sales,True
60,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8Gb Micro Traveldrive Usb 2.0 Flash Drive,30.0,9.0,21.0,30.0,0.42857142857142855,1,Express,2017,June,17,Low Sales,True
61,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,14.543999999999999,33.936,30.0,0.42857142857142855,1,Express,2017,June,17,Low Sales,True
62,CA-2017-111682,2017-06-17,2017-06-18,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,0.504,1.176,30.0,0.4285714285714286,1,Express,2017,June,17,Low Sales,True
63,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 Gb 6X Blu-Ray Single Layer Recordable Disc, 3/Pack",13.98,4.194,9.786000000000001,30.0,0.4285714285714285,6,Late,2016,November,24,Low Sales,True
64,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco Presstex Data Binder With Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,7.7472,18.076800000000002,30.0,0.42857142857142855,6,Late,2016,November,24,Low Sales,True
65,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,44.019,102.71099999999998,30.0,0.4285714285714286,6,Late,2016,November,24,Medium Sales,True
66,CA-2016-135545,2016-11-24,2016-11-30,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,23.928,55.83200000000001,30.0,0.42857142857142855,6,Late,2016,November,24,Low Sales,True
67,US-2016-164175,2016-04-30,2016-05-05,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager'S Chair, Gray",213.115,63.9345,149.1805,30.0,0.4285714285714286,5,Standard,2016,April,30,Medium Sales,True
68,CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt Boston Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,333.90719999999993,779.1168,30.0,0.4285714285714285,5,Standard,2015,December,5,High Sales,True
69,CA-2015-106376,2015-12-05,2015-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,Nettalk Duo Voip Telephone Service,167.968,50.39039999999999,117.57759999999999,30.0,0.42857142857142855,5,Standard,2015,December,5,Medium Sales,True
70,CA-2017-119823,2017-06-04,2017-06-06,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,22.764,53.116,30.0,0.42857142857142855,2,Express,2017,June,4,Low Sales,True
71,CA-2017-106075,2017-09-18,2017-09-23,Standard Class,HM-14980,Henry Macallister,Consumer,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1.3847999999999998,3.2312,30.0,0.42857142857142855,5,Standard,2017,September,18,Low Sales,True
72,CA-2018-114440,2018-09-14,2018-09-17,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books With Fax/Mobile Section, 5 1/2"" X 3 3/16""",19.05,5.715,13.335,30.0,0.42857142857142855,3,Standard,2018,September,14,Low Sales,True
73,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager'S Chair,831.936,249.5808,582.3552,30.0,0.4285714285714286,6,Late,2016,April,26,Medium Sales,True
74,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats For Medium Pile Carpet, Standard Lip, 36"" X 48""",97.04,29.112000000000002,67.928,30.0,0.4285714285714286,6,Late,2016,April,26,Low Sales,True
75,US-2016-134026,2016-04-26,2016-05-02,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,21.8352,50.948800000000006,30.0,0.42857142857142855,6,Late,2016,April,26,Low Sales,True
76,US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,0.3744,0.8735999999999999,30.0,0.4285714285714286,2,Express,2018,December,9,Low Sales,True
77,US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,2.9124,6.7956,30.0,0.42857142857142855,2,Express,2018,December,9,Low Sales,True
78,US-2018-118038,2018-12-09,2018-12-11,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"Simplifile Personal File, Black Granite, 15W X 6-15/16D X 11-1/4H",27.24,8.171999999999999,19.067999999999998,30.0,0.42857142857142855,2,Express,2018,December,9,Low Sales,True
79,US-2015-147606,2015-11-26,2015-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5.79,13.510000000000002,30.0,0.42857142857142855,5,Standard,2015,November,26,Low Sales,True
80,CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,62.44799999999999,145.712,30.0,0.42857142857142855,3,Standard,2017,June,12,Medium Sales,True
81,CA-2017-127208,2017-06-12,2017-06-15,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty Ezd  Binder With Locking Rings,16.74,5.021999999999999,11.718,30.0,0.4285714285714285,3,Standard,2017,June,12,Low Sales,True
82,CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 By Central Association For The Blind",14.9,4.47,10.43,30.0,0.42857142857142855,4,Standard,2015,October,12,Low Sales,True
83,CA-2015-139451,2015-10-12,2015-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,6.417,14.973,30.0,0.42857142857142855,4,Standard,2015,October,12,Low Sales,True
